gene_id,min_pvalue,min_padj,discoveries,tested_terms,observed_foreground
YAL001C,0.16666666666666669,1.0,0,62,False
YAL002W,0.02380952380952381,0.7380952380952381,0,62,False
YAL003W,0.03571428571428571,1.0,0,62,False
YAL005C,0.02380952380952381,0.27678571428571425,0,62,True
YAL007C,0.07142857142857144,1.0,0,62,False
YAL008W,0.02380952380952381,1.0,0,62,False
YAL009W,0.05952380952380952,1.0,0,62,False
YAL010C,0.02380952380952381,0.9226190476190476,0,62,False
YAL011W,0.047619047619047616,1.0,0,62,False
YAL012W,0.02380952380952381,1.0,0,62,False
YAL013W,0.02380952380952381,1.0,0,62,False
YAL014C,0.02380952380952381,1.0,0,62,False
YAL015C,0.02380952380952381,0.9226190476190476,0,62,False
YAL016W,0.03571428571428571,1.0,0,62,False
YAL017W,1.0,1.0,0,62,False
YAL019W,0.047619047619047616,0.9841269841269841,0,62,False
YAL020C,0.03571428571428571,1.0,0,62,False
YAL021C,0.02380952380952381,0.738095238095238,0,62,False
YAL022C,0.03571428571428571,1.0,0,62,False
YAL023C,0.03571428571428571,1.0,0,62,False
YAL024C,0.07142857142857144,1.0,0,62,False
YAL025C,0.03571428571428571,1.0,0,62,False
YAL026C,0.02380952380952381,0.8857142857142858,0,62,False
YAL026C-A,1.0,1.0,0,62,False
YAL027W,0.08333333333333334,1.0,0,62,False
YAL028W,0.02380952380952381,1.0,0,62,False
YAL029C,0.02380952380952381,1.0,0,62,False
YAL030W,0.02380952380952381,0.4920634920634921,0,62,False
YAL031C,0.03571428571428571,1.0,0,62,False
YAL032C,0.02380952380952381,1.0,0,62,False
YAL033W,0.02380952380952381,0.4428571428571428,0,62,False
YAL034C,1.0,1.0,0,62,False
YAL034W-A,0.03571428571428571,1.0,0,62,False
YAL035W,0.02380952380952381,0.738095238095238,0,62,False
YAL036C,0.02380952380952381,0.7380952380952381,0,62,False
YAL037W,1.0,1.0,0,62,False
YAL038W,0.03571428571428571,0.5535714285714285,0,62,False
YAL039C,0.047619047619047616,1.0,0,62,False
YAL040C,0.02380952380952381,1.0,0,62,False
YAL041W,0.047619047619047616,1.0,0,62,False
YAL042W,0.07142857142857144,1.0,0,62,False
YAL043C,0.03571428571428571,1.0,0,62,False
YAL044C,0.03571428571428571,1.0,0,62,False
YAL044W-A,0.047619047619047616,1.0,0,62,False
YAL046C,0.047619047619047616,1.0,0,62,False
YAL047C,0.047619047619047616,1.0,0,62,False
YAL048C,0.02380952380952381,1.0,0,62,False
YAL049C,1.0,1.0,0,62,False
YAL051W,0.10714285714285715,1.0,0,62,False
YAL053W,0.02380952380952381,0.5535714285714285,0,62,False
YAL054C,0.02380952380952381,0.5535714285714285,0,62,False
YAL055W,1.0,1.0,0,62,False
YAL056W,0.02380952380952381,0.4920634920634921,0,62,False
YAL058W,0.03571428571428571,1.0,0,62,False
YAL059W,0.03571428571428571,1.0,0,62,False
YAL060W,0.03571428571428571,1.0,0,62,False
YAL061W,1.0,1.0,0,62,False
YAL062W,0.03571428571428571,1.0,0,62,False
YAL063C,0.02380952380952381,1.0,0,62,False
YAL068C,0.02380952380952381,0.4920634920634921,0,62,False
YAR002C-A,0.07142857142857144,1.0,0,62,False
YAR002W,0.03571428571428571,0.369047619047619,0,62,False
YAR003W,0.02380952380952381,0.9841269841269841,0,62,False
YAR007C,0.02380952380952381,0.49206349206349204,0,62,False
YAR008W,1.0,1.0,0,62,False
YAR009C,1.0,1.0,0,62,False
YAR010C,1.0,1.0,0,62,False
YAR014C,0.047619047619047616,1.0,0,62,False
YAR015W,0.03571428571428571,1.0,0,62,False
YAR018C,0.03571428571428571,1.0,0,62,False
YAR019C,0.047619047619047616,1.0,0,62,False
YAR023C,1.0,1.0,0,62,False
YAR027W,1.0,1.0,0,62,False
YAR028W,0.10714285714285715,1.0,0,62,False
YAR029W,1.0,1.0,0,62,False
YAR031W,1.0,1.0,0,62,False
YAR033W,0.02380952380952381,1.0,0,62,False
YAR035W,0.047619047619047616,1.0,0,62,False
YAR042W,0.02380952380952381,0.9841269841269841,0,62,False
YAR050W,0.02380952380952381,1.0,0,62,False
YAR060C,1.0,1.0,0,62,False
YAR066W,1.0,1.0,0,62,False
YAR068W,1.0,1.0,0,62,False
snR18,1.0,1.0,0,62,False
