report	file	module	status
rnaseq/SRR6357076/qc/SRR6357076_1_fastqc.zip	SRR6357076_1.fastq.gz	Adapter Content	PASS
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Basic Statistics	PASS
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Per base sequence quality	PASS
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Per sequence quality scores	PASS
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Per base sequence content	FAIL
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Per sequence GC content	WARN
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Per base N content	PASS
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Sequence Length Distribution	PASS
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Sequence Duplication Levels	FAIL
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Overrepresented sequences	WARN
rnaseq/SRR6357076/qc/SRR6357076_2_fastqc.zip	SRR6357076_2.fastq.gz	Adapter Content	PASS
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Basic Statistics	PASS
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Per base sequence quality	PASS
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Per sequence quality scores	PASS
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Per base sequence content	FAIL
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Per sequence GC content	WARN
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Per base N content	PASS
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Sequence Length Distribution	PASS
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Sequence Duplication Levels	FAIL
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Overrepresented sequences	WARN
rnaseq/SRR6357077/qc/SRR6357077_1_fastqc.zip	SRR6357077_1.fastq.gz	Adapter Content	PASS
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Basic Statistics	PASS
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Per base sequence quality	PASS
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Per sequence quality scores	PASS
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Per base sequence content	FAIL
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Per sequence GC content	WARN
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Per base N content	PASS
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Sequence Length Distribution	PASS
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Sequence Duplication Levels	FAIL
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Overrepresented sequences	WARN
rnaseq/SRR6357077/qc/SRR6357077_2_fastqc.zip	SRR6357077_2.fastq.gz	Adapter Content	PASS
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Basic Statistics	PASS
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Per base sequence quality	PASS
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Per sequence quality scores	PASS
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Per base sequence content	FAIL
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Per sequence GC content	WARN
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Per base N content	PASS
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Sequence Length Distribution	PASS
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Sequence Duplication Levels	FAIL
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Overrepresented sequences	WARN
rnaseq/SRR6357078/qc/SRR6357078_1_fastqc.zip	SRR6357078_1.fastq.gz	Adapter Content	PASS
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Basic Statistics	PASS
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Per base sequence quality	PASS
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Per sequence quality scores	PASS
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Per base sequence content	FAIL
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Per sequence GC content	WARN
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Per base N content	PASS
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Sequence Length Distribution	PASS
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Sequence Duplication Levels	FAIL
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Overrepresented sequences	WARN
rnaseq/SRR6357078/qc/SRR6357078_2_fastqc.zip	SRR6357078_2.fastq.gz	Adapter Content	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Basic Statistics	PASS
