permutation,balanced_accuracy
1,0.30250000000000005
2,0.2891666666666667
3,0.24666666666666667
4,0.2566666666666667
5,0.2833333333333333
6,0.1375
7,0.24749999999999997
8,0.27666666666666667
9,0.31
10,0.2458333333333333
11,0.16666666666666669
12,0.1825
13,0.24
14,0.265
15,0.29
16,0.22833333333333333
17,0.175
18,0.23583333333333334
19,0.26749999999999996
20,0.18166666666666664
21,0.2541666666666667
22,0.22833333333333333
23,0.2575
24,0.24416666666666664
25,0.2658333333333333
26,0.2833333333333333
27,0.2633333333333333
28,0.2783333333333333
29,0.3558333333333333
30,0.30999999999999994
31,0.22000000000000003
32,0.24833333333333335
33,0.265
34,0.26166666666666666
35,0.22916666666666669
36,0.25166666666666665
37,0.26999999999999996
38,0.2333333333333333
39,0.2866666666666666
40,0.26416666666666666
41,0.11499999999999999
42,0.21333333333333332
43,0.1375
44,0.3625
45,0.3733333333333333
46,0.30416666666666664
47,0.22166666666666662
48,0.21166666666666667
49,0.38166666666666665
50,0.31416666666666665
51,0.13916666666666666
52,0.26166666666666666
53,0.35916666666666663
54,0.17583333333333334
55,0.27083333333333337
56,0.30083333333333334
57,0.17666666666666667
58,0.18833333333333332
59,0.205
60,0.2033333333333333
61,0.25333333333333335
62,0.205
63,0.16416666666666666
64,0.28666666666666674
65,0.23166666666666663
66,0.1525
67,0.1925
68,0.15666666666666665
69,0.31166666666666665
70,0.2733333333333333
71,0.2633333333333333
72,0.21000000000000002
73,0.24083333333333332
74,0.2583333333333333
75,0.18
76,0.3075
77,0.22166666666666668
78,0.25416666666666665
79,0.175
80,0.1625
81,0.3616666666666667
82,0.10916666666666666
83,0.25916666666666666
84,0.19250000000000003
85,0.24
86,0.27416666666666667
87,0.17916666666666664
88,0.19416666666666665
89,0.21333333333333332
90,0.2583333333333333
91,0.22749999999999998
92,0.15416666666666667
93,0.21416666666666667
94,0.2058333333333333
95,0.33749999999999997
96,0.275
97,0.28583333333333333
98,0.255
99,0.19916666666666666
