,YAL068C,YAL063C,YAL062W,YAL061W,YAL060W,YAL059W,YAL058W,YAL056W,YAL055W,YAL054C,YAL053W,YAL051W,YAL049C,YAL048C,YAL047C,YAL046C,YAL044W-A,YAL044C,YAL043C,YAL042W,YAL041W,YAL040C,YAL039C,YAL038W,YAL037W,YAL036C,YAL035W,YAL034W-A,YAL034C,YAL033W,YAL032C,YAL031C,YAL030W,YAL029C,YAL028W,YAL027W,YAL026C-A,YAL026C,YAL025C,YAL024C,YAL023C,YAL022C,YAL021C,YAL020C,YAL019W,YAL017W,YAL016W,YAL015C,YAL014C,YAL013W,YAL012W,YAL011W,YAL010C,YAL009W,YAL008W,YAL007C,YAL005C,YAL003W,snR18,YAL002W,YAL001C,YAR002W,YAR002C-A,YAR003W,YAR007C,YAR008W,YAR009C,YAR010C,YAR014C,YAR015W,YAR018C,YAR019C,YAR023C,YAR027W,YAR028W,YAR029W,YAR031W,YAR033W,YAR035W,YAR042W,YAR050W,YAR060C,YAR066W,YAR068W
SRR6357073,0.9986798737239522,6.990759116067665,3.9947194948958087,16.977557853307186,52.93003330736946,28.961716337994613,25.965676716822756,50.93267355992156,0.9986798737239522,6.990759116067665,129.8283835841138,59.92079242343713,52.93003330736946,20.972277348202997,20.972277348202997,8.98811886351557,7.989438989791617,74.90099052929641,68.9089112869527,147.80462131114493,62.91683204460899,43.941914443853896,16.977557853307186,6196.808616457123,6.990759116067665,61.91815217088504,458.39406203929406,1.9973597474479043,14.980198105859282,10.985478610963474,13.98151823213533,39.947194948958085,16.977557853307186,170.7742584067958,5.9920792423437135,10.985478610963474,4.993399368619761,154.7953804272126,29.960396211718564,46.93795406502575,325.5696388340084,35.95247545406228,103.86270686729102,8.98811886351557,109.85478610963474,118.84290497315031,158.7900999221084,10.985478610963474,18.97491760075509,17.97623772703114,267.6462061580192,22.9696370956509,15.978877979583235,17.97623772703114,22.9696370956509,87.88382888770779,5366.905641392519,940.756441047963,1.9973597474479043,28.961716337994613,65.91287166578084,63.91551191833294,85.88646914025989,16.977557853307186,63.91551191833294,13.98151823213533,15757.171047616517,6597.2792458204285,66.9115515395048,79.89438989791617,12.982838358411378,33.95511570661437,0.0,45.9392741913018,16.977557853307186,0.9986798737239522,12.982838358411378,10.985478610963474,3.9947194948958087,108.85610623591079,4.993399368619761,1.9973597474479043,7.989438989791617,8.98811886351557
SRR6357074,9.663760739609314,4.831880369804657,3.865504295843725,28.99128221882794,40.58779510635912,28.024906144867007,26.092153996945147,56.049812289734014,7.73100859168745,2.899128221882794,112.09962457946803,61.8480687334996,34.78953866259353,21.26027362714049,19.32752147921863,7.73100859168745,22.226649701101422,87.94022273044475,61.8480687334996,135.2926503545304,65.71357302934334,30.9240343667498,19.32752147921863,6236.991181343851,7.73100859168745,77.31008591687451,430.03735291261444,9.663760739609314,21.26027362714049,8.697384665648382,14.49564110941397,28.024906144867007,18.361145405257695,162.35118042543647,5.798256443765588,8.697384665648382,5.798256443765588,133.35989820660853,29.95765829278887,49.285179772007496,344.02988233009154,38.65504295843726,108.2341202836243,3.865504295843725,112.09962457946803,91.80572702628848,143.02365894621784,15.4620171833749,18.361145405257695,21.26027362714049,299.5765829278887,20.29389755317956,15.4620171833749,8.697384665648382,21.26027362714049,92.77210310024941,5151.750850285725,902.5952530795099,5.798256443765588,40.58779510635912,42.52054725428098,46.386051550124705,71.51182947310892,13.529265035453038,58.94894051161681,11.596512887531176,15158.57509615117,6456.358550132983,82.14196628667916,104.36861598778059,14.49564110941397,28.99128221882794,5.798256443765588,40.58779510635912,30.9240343667498,4.831880369804657,14.49564110941397,9.663760739609314,0.9663760739609313,91.80572702628848,5.798256443765588,3.865504295843725,6.764632517726519,13.529265035453038
SRR6357075,6.358496088419799,2.725069752179914,4.541782920299856,48.14289895517848,69.03510038855782,15.442061929019513,19.983844849319368,53.593038459538306,0.9083565840599713,11.808635592779627,133.5284178568158,46.326185787058535,38.1509765305188,20.89220143337934,19.0754882652594,3.6334263362398853,9.083565840599713,60.85989113201808,59.04317796389814,151.6955495380152,57.22646479577819,56.318108211718226,19.983844849319368,6196.808616457124,3.6334263362398853,74.48523989291765,373.3345560486482,11.808635592779627,22.708914601499284,18.167131681199425,20.89220143337934,43.60111603487862,26.34234093773917,172.58775097139454,11.808635592779627,12.716992176839598,4.541782920299856,132.6200612727558,29.067410689919083,43.60111603487862,275.23204497017133,38.1509765305188,87.20223206975724,13.62534876089957,104.4610071668967,96.28579791035696,162.59582854673488,9.991922424659684,22.708914601499284,13.62534876089957,257.9732698730319,14.533705344959541,18.167131681199425,12.716992176839598,14.533705344959541,92.65237157411707,5403.813318572769,964.6746922716895,4.541782920299856,34.51755019427891,59.951534547958104,64.49331746825797,94.46908474223702,20.89220143337934,62.676604300138024,12.716992176839598,13847.896123994264,5694.487425471961,79.93537939727747,72.6685267247977,14.533705344959541,37.242619946458824,0.9083565840599713,53.593038459538306,38.1509765305188,0.9083565840599713,25.433984353679197,14.533705344959541,5.450139504359828,95.37744132629699,7.266852672479771,0.9083565840599713,5.450139504359828,16.350418513079482
SRR6357076,3.0929687454466124,3.0929687454466124,4.12395832726215,31.96067703628166,52.58046867259241,20.619791636310747,24.7437499635729,60.828385327116706,8.2479166545243,6.185937490893225,118.5638019087868,35.05364578172827,39.17760410899042,20.619791636310747,20.619791636310747,3.0929687454466124,12.37187498178645,49.4874999271458,65.9833332361944,156.7104164359617,70.10729156345654,35.05364578172827,12.37187498178645,6076.652595220778,5.154947909077687,64.95234365437886,423.7367181261859,8.2479166545243,22.681770799941823,12.37187498178645,17.526822890864135,40.20859369080596,18.557812472679675,182.48515598135012,9.278906236339838,12.37187498178645,8.2479166545243,122.68776023604896,24.7437499635729,48.45651034533026,327.8546870173409,41.239583272621495,114.43984358152466,14.433854145417524,103.09895818155374,98.9749998542916,159.8033851814083,12.37187498178645,19.58880205449521,10.309895818155374,298.98697872650587,12.37187498178645,14.433854145417524,21.650781218126287,16.4958333090486,73.20026030890315,6176.658584656885,837.1635404342164,2.061979163631075,37.11562494535935,53.61145825440795,65.9833332361944,88.66510403613621,26.805729127203975,68.04531239982548,14.433854145417524,17146.3877351742,7103.518218709053,62.890364490747785,64.95234365437886,23.71276038175736,18.557812472679675,3.0929687454466124,34.02265619991274,22.681770799941823,3.0929687454466124,18.557812472679675,3.0929687454466124,3.0929687454466124,107.2229165088159,5.154947909077687,4.12395832726215,7.216927072708762,8.2479166545243
SRR6357077,5.180579336435603,8.288926938296965,10.361158672871206,23.830664947603776,59.05860443536588,33.15570775318786,18.650085611168173,59.05860443536588,1.0361158672871207,5.180579336435603,119.15332473801887,51.805793364356035,40.40851882419771,20.72231734574241,23.830664947603776,14.50562214201969,18.650085611168173,82.88926938296964,58.02248856807876,131.58671514546432,83.92538525025677,50.76967749706891,8.288926938296965,6068.530634700665,7.252811071009845,66.31141550637572,495.2633845632437,8.288926938296965,9.325042805584086,12.433390407445447,13.469506274732568,25.902896682178017,25.902896682178017,176.13969743881051,7.252811071009845,4.144463469148483,2.0722317345742414,158.52572769492946,32.11959188590074,49.73356162978179,354.3516266121953,36.26405535504922,121.22555647259311,16.57785387659393,102.57547086142495,109.82828193243479,136.76729448189994,11.397274540158326,25.902896682178017,11.397274540158326,290.1124428403938,14.50562214201969,24.866780814890895,22.794549080316653,16.57785387659393,75.63645831195981,5950.413425829934,837.1816207679934,1.0361158672871207,37.300171222336346,55.95025683350451,59.05860443536588,100.5032391268507,21.758433213029534,49.73356162978179,8.288926938296965,17161.18710987658,7097.393690916776,73.56422657738557,78.74480591382117,15.54173800930681,29.01124428403938,4.144463469148483,34.191823620474985,22.794549080316653,1.0361158672871207,12.433390407445447,14.50562214201969,4.144463469148483,118.11720887073176,5.180579336435603,2.0722317345742414,6.216695203722724,13.469506274732568
SRR6357078,3.029049734343946,5.048416223906576,6.058099468687892,52.503528728628396,60.58099468687892,30.29049734343946,19.18398165084499,62.60036117644155,4.038732979125261,4.038732979125261,115.10388990506995,52.503528728628396,40.38732979125261,21.203348140407623,14.135565426938415,15.14524867171973,13.125882182157099,65.6294109107855,54.522895218191024,115.10388990506995,68.65846064512944,70.67782713469207,16.154931916501045,6062.138201667017,6.058099468687892,66.63909415556681,412.960447115558,5.048416223906576,21.203348140407623,18.174298406063677,20.193664895626306,26.251764364314198,23.222714629970252,161.54931916501044,18.174298406063677,6.058099468687892,5.048416223906576,149.43312022763467,22.213031385188938,44.426062770377875,295.8371907209254,36.348596812127354,126.21040559766442,11.106515692594469,111.06515692594469,128.22977208722705,146.40407049329073,13.125882182157099,23.222714629970252,13.125882182157099,264.5370101327046,13.125882182157099,25.242081119532884,6.058099468687892,12.116198937375785,72.69719362425471,6471.05991580345,890.5406218971201,7.0677827134692075,37.35828005690867,57.551944952534974,54.522895218191024,88.85212554075575,14.135565426938415,60.58099468687892,6.058099468687892,15959.05336701347,6891.088145632477,53.51321197340971,56.54226170775366,16.154931916501045,33.319547077783405,4.038732979125261,43.41637952559656,16.154931916501045,4.038732979125261,8.077465958250523,11.106515692594469,3.029049734343946,105.00705745725679,10.096832447813153,2.0193664895626307,5.048416223906576,11.106515692594469
